parameter,word
mM,anna-
mF,atta-
mMeZ,annaneka-
meB,ŠEŠ (*nana-)
meZ,NIN
mMBeS,annin(n)iyami-
mMeBS,annin(n)iyami-
mMyBS,annin(n)iyami-
mFBeS,anninniyami-
mFeBS,anninniyami-
mFyBS,anninniyami-
mMZeS,anninniyami-
mMeZS,anninniyami-
mMyZS,anninniyami-
mFZeS,anninniyami-
mFeZS,anninniyami-
mFyZS,anninniyami-
mMBeD,anninniyami-
mMeBD,anninniyami-
mMyBD,anninniyami-
mFBeD,anninniyami-
mFeBD,anninniyami-
mFyBD,anninniyami-
mMZeD,anninniyami-
mMeZD,anninniyami-
mMyZD,anninniyami-
mFZeD,anninniyami-
mFeZD,anninniyami-
mFyZD,anninniyami-
