parameter,word
mM,silei
mF,tamai
mMeB,manenepai
mFeB,tamai
mMeZ,silei
mFeZ,silei
meB,bwisi
meZ,moengai
mFBeS,bwisi
mFeBS,bwisi
mFyBS,bwisi
mMZeS,bwisi
mMeZS,bwisi
mMyZS,bwisi
mFBeD,moengai
mFeBD,moengai
mFyBD,moengai
mMZeD,moengai
mMeZD,moengai
mMyZD,moengai
feB,moengai
feZ,bwisi
fFBeS,moengai
fFeBS,moengai
fFyBS,moengai
fMZeS,moengai
fMeZS,moengai
fMyZS,moengai
fFBeD,bwisi
fFeBD,bwisi
fFyBD,bwisi
fMZeD,bwisi
fMeZD,bwisi
fMyZD,bwisi
