parameter,word
mM,matka
mF,otec
mMeB,strýc
mFeB,strýc
mMeZ,teta
mFeZ,teta
meB,bratr
meZ,sestra
mMBeS,bratranec
mMeBS,bratranec
mMyBS,bratranec
mFBeS,bratranec
mFeBS,bratranec
mFyBS,bratranec
mMZeS,bratranec
mMeZS,bratranec
mMyZS,bratranec
mFZeS,bratranec
mFeZS,bratranec
mFyZS,bratranec
mMBeD,sestřenice
mMeBD,sestřenice
mMyBD,sestřenice
mFBeD,sestřenice
mFeBD,sestřenice
mFyBD,sestřenice
mMZeD,sestřenice
mMeZD,sestřenice
mMyZD,sestřenice
mFZeD,sestřenice
mFeZD,sestřenice
mFyZD,sestřenice
