parameter,word
mM,bou
mF,bappa
mMeB,mamo
mFeB,dadda
mFyB,khudata
mMeZ,mausi
mFeZ,piusi
meB,bɔṛɔ bha:i
myB,sa:nɔ bha:i
meZ,bɔṛɔ bhɔuɳi:
myZ,sa:nɔ bhɔuɳi:
mMBeS,mamo-puva-bhai
mMeBS,mamo-puva-bhai
mMyBS,mamo-puva-bhai
mFBeS,jeṭhāpua
mFByS,kakkoi puva bhai
mFeBS,kakāpua bhāi
mFyBS,puva-bhai
mMZeS,mausi-puva-bhai
mMeZS,mausi-puva-bhai
mMyZS,mausi-puva-bhai
mFZeS,pivasi-puva-bhai
mFeZS,pivasi-puva-bhai
mFyZS,pivasi-puva-bhai
mMBeD,mamo-zia-bhauni
mMeBD,mamo-zia-bhauni
mMyBD,mamo-zia-bhauni
mFBeD,daddai-zia-bhauni
mFByD,kakkoi-zia-bhauni
mFyBD,kakkoi-zia-bhauni
mMZeD,mausi-zia-bhauni
mMeZD,mausi-zia-bhauni
mMyZD,mausi-zia-bhauni
mFZeD,piusi-zia-bhauni
mFeZD,piusi-zia-bhauni
mFyZD,piusi-zia-bhauni
