parameter,word
mM,ammii
mF,abbaa jaan
mMeB,māmā
mFeB,taaiaa
mFyB,cācā
mMeZ,khaalaa
mFeZ,bhuā
meB,vaDDaa pràà
myB,choTaa pràà
meZ,vaDDii pàìN
myZ,choTii pàìN
mMBeS,mameraa pràà
mMeBS,mameraa pràà
mMyBS,mameraa pràà
mFBeS,caceraa pràà
mFeBS,caceraa pràà
mFyBS,caceraa pràà
mMZeS,khaalaa daa muNDaa
mMeZS,khaalaa daa muNDaa
mMyZS,khaalaa daa muNDaa
mFZeS,phupheraa pràà
mFeZS,phupheraa pràà
mFyZS,phupheraa pràà
mMBeD,mamerii pàìN
mMeBD,mamerii pàìN
mMyBD,mamerii pàìN
mFBeD,mamerii pàìN
mFeBD,mamerii pàìN
mFyBD,mamerii pàìN
mMZeD,khaalaa dii kuRii
mMeZD,khaalaa dii kuRii
mMyZD,khaalaa dii kuRii
mFZeD,phupherii pàìN
mFeZD,phupherii pàìN
mFyZD,phupherii pàìN
