parameter,word
mM,máti
mF,óče
mMeB,stríc
mFeB,stríc
mMeZ,téta
mFeZ,téta
meB,brȁt
meZ,séstra
mMBeS,brátranəc
mMeBS,brátranəc
mMyBS,brátranəc
mFBeS,brátranəc
mFeBS,brátranəc
mFyBS,brátranəc
mMZeS,brátranəc
mMeZS,brátranəc
mMyZS,brátranəc
mFZeS,brátranəc
mFeZS,brátranəc
mFyZS,brátranəc
mMBeD,sestrîčna
mMeBD,sestrîčna
mMyBD,sestrîčna
mFBeD,sestrîčna
mFeBD,sestrîčna
mFyBD,sestrîčna
mMZeD,sestrîčna
mMeZD,sestrîčna
mMyZD,sestrîčna
mFZeD,sestrîčna
mFeZD,sestrîčna
mFyZD,sestrîčna
