parameter,word
mM,nana
mF,da
mMeB,näna woša
mFeB,dä-woša
mMeZ,näci
mFeZ,däci
meB,woša
myB,zʕamaɣwola woša
meZ,yiša
myZ,zʕamaɣyola yiša
mMBeS,dä-yišiy woʕ (yiša)
mMeBS,dä-yišiy woʕ (yiša)
mMyBS,dä-yišiy woʕ (yiša)
mFBeS,dä-yišiy woʕ (yiša)
mFeBS,dä-yišiy woʕ (yiša)
mFyBS,dä-yišiy woʕ (yiša)
mMZeS,dä-yišiy woʕ (yiša)
mMeZS,dä-yišiy woʕ (yiša)
mMyZS,dä-yišiy woʕ (yiša)
mFZeS,dä-yišiy woʕ (yiša)
mFeZS,dä-yišiy woʕ (yiša)
mFyZS,dä-yišiy woʕ (yiša)
mMBeD,dä-yišiy woʕ (yiša)
mMeBD,dä-yišiy woʕ (yiša)
mMyBD,dä-yišiy woʕ (yiša)
mFBeD,dä-yišiy woʕ (yiša)
mFeBD,dä-yišiy woʕ (yiša)
mFyBD,dä-yišiy woʕ (yiša)
mMZeD,dä-yišiy woʕ (yiša)
mMeZD,dä-yišiy woʕ (yiša)
mMyZD,dä-yišiy woʕ (yiša)
mFZeD,dä-yišiy woʕ (yiša)
mFeZD,dä-yišiy woʕ (yiša)
mFyZD,dä-yišiy woʕ (yiša)
