parameter,word
mM,madā
mF,fadā
mMeB,māda brɛda
mFeB,fāda brɛda
mMeZ,māda sɩsta
mFeZ,fāda sɩsta
meB,brada  ~ brɛda
myB,lɩkl brɛda ~ lɩkl brada
meZ,sɩsta
myZ,lɩkl sɩsta
mMBeS,kɔzɩn
mMeBS,kɔzɩn
mMyBS,kɔzɩn
mFBeS,kɔzɩn
mFeBS,kɔzɩn
mFyBS,kɔzɩn
mMZeS,kɔzɩn
mMeZS,kɔzɩn
mMyZS,kɔzɩn
mFZeS,kɔzɩn
mFeZS,kɔzɩn
mFyZS,kɔzɩn
mMBeD,kɔzɩn
mMeBD,kɔzɩn
mMyBD,kɔzɩn
mFBeD,kɔzɩn
mFeBD,kɔzɩn
mFyBD,kɔzɩn
mMZeD,kɔzɩn
mMeZD,kɔzɩn
mMyZD,kɔzɩn
mFZeD,kɔzɩn
mFeZD,kɔzɩn
mFyZD,kɔzɩn
