parameter,word
mM,ibu
mF,bapak
mMeB,pakdhé
mMyB,paklik
mFeB,pakdhé
mFyB,paklik
mMeZ,budhé
mMyZ,bulik
mFeZ,budhé
mFyZ,bulik
meZ,mbakyu
myZ,adik wadon
mMBeS,sedulur misan
mMeBS,sedulur misan
mMyBS,sedulur misan
mFBeS,sedulur misan
mFeBS,sedulur misan
mFyBS,sedulur misan
mMZeS,sedulur misan
mMeZS,sedulur misan
mMyZS,sedulur misan
mFZeS,sedulur misan
mFeZS,sedulur misan
mFyZS,sedulur misan
mMBeD,sedulur misan
mMeBD,sedulur misan
mMyBD,sedulur misan
mFBeD,sedulur misan
mFeBD,sedulur misan
mFyBD,sedulur misan
mMZeD,sedulur misan
mMeZD,sedulur misan
mMyZD,sedulur misan
mFZeD,sedulur misan
mFeZD,sedulur misan
mFyZD,sedulur misan
feB,kangmas
fyB,adhi lanang
