parameter,word
mM,ngangkimeyu
mF,yerlitta
mMeB,kawawa
mMeZ,ngarpadla
mFeZ,ngarpadla
meB,yanga
myB,panyappi
meZ,yakkana
myZ,panyappi
mMBeS,kou-wou
mMeBS,kou-wou
mMyBS,kou-wou
mFBeS,ngapitya
mFeBS,ngapitya
mFyBS,ngapitya
mMZeS,kou-wou
mMeZS,kou-wou
mMyZS,kou-wou
mFZeS,ngapitya
mFeZS,ngapitya
mFyZS,ngapitya
mMBeD,kou-wou
mMeBD,kou-wou
mMyBD,kou-wou
mFBeD,ngapitya
mFeBD,ngapitya
mFyBD,ngapitya
mMZeD,kou-wou
mMeZD,kou-wou
mMyZD,kou-wou
mFZeD,ngapitya
mFeZD,ngapitya
mFyZD,ngapitya
