parameter,word
mM,mam
mF,ay
mMeB,čož
mFeB,dyadʸ
mMeZ,ičinʸ
mFeZ,ob
meB,vok
myB,ičötdžɩk vok
meZ,čoy
myZ,ičötdžɩk čoy
mMBeS,voga čoy
mMeBS,voga čoy
mMyBS,voga čoy
mFBeS,voga čoy
mFeBS,voga čoy
mFyBS,voga čoy
mMZeS,voga čoy
mMeZS,voga čoy
mMyZS,voga čoy
mFZeS,voga čoy
mFeZS,voga čoy
mFyZS,voga čoy
mMBeD,voga čoy
mMeBD,voga čoy
mMyBD,voga čoy
mFBeD,voga čoy
mFeBD,voga čoy
mFyBD,voga čoy
mMZeD,voga čoy
mMeZD,voga čoy
mMyZD,voga čoy
mFZeD,voga čoy
mFeZD,voga čoy
mFyZD,voga čoy
