parameter,word
mM,nagu
mF,tamagu
mMeB,matuagu
mFeB,tamagu
mMeZ,nagu
mFeZ,vivigu
meZ,taigu
mMBeS,nauvagu
mMeBS,nauvagu
mMyBS,nauvagu
mFBeS,turagukava
mFeBS,turagukava
mFyBS,turagukava
mMZeS,turagu
mMeZS,turagu
mMyZS,turagu
mFZeS,nauvagu
mFeZS,nauvagu
mFyZS,nauvagu
mMBeD,nauvagu
mMeBD,nauvagu
mMyBD,nauvagu
mFBeD,taigu
mFeBD,taigu
mFyBD,taigu
mMZeD,taigu
mMeZD,taigu
mMyZD,taigu
mFZeD,nauvagu
mFeZD,nauvagu
mFyZD,nauvagu
feB,taigu
feZ,turagu
fFBeS,taigu
fFeBS,taigu
fFyBS,taigu
fMZeS,taigu
fMeZS,taigu
fMyZS,taigu
fFBeD,tanavavigukava
fFeBD,tanavavigukava
fFyBD,tanavavigukava
fMZeD,tanavavigu
fMeZD,tanavavigu
fMyZD,tanavavigu
