parameter,word
mM,tae
mF,ba
mMeB,
mFeB,
mMeZ,
mFeZ,
meB,!ko
myB,tsin
meZ,!kwi
myZ,tsin
mMBeS,!kun!a
mMByS,!kuma
mMeBS,
mMyBS,
mFBeS,!kun!a
mFByS,!kuma
mFeBS,
mFyBS,
mMZeS,!kun!a
mMZyS,!kuma
mMeZS,
mMyZS,
mFZeS,!kun!a
mFZyS,!kuma
mFeZS,
mFyZS,
mMBeD,tun
mMByD,tuma
mMeBD,
mMyBD,
mFBeD,tun
mFByD,tuma
mFeBD,
mFyBD,
mMZeD,tun
mMZyD,tuma
mMeZD,
mMyZD,
mFZeD,tun
mFZyD,tuma
mFeZD,
mFyZD,
fMBeS,
fFBeS,
fMZeS,
fFZeS,
fMBeD,
fFBeD,
fMZeD,
fFZeD,
