parameter,word
mM,mama
mF,tata
mMeB,mwinsyo
mFeB,tata
mMeZ,mama
mFeZ,tatankasi
meB,umukulu
myB,umwanice
mZ,inkasi
mMBeS,umufyala
mMeBS,umufyala
mMyBS,umufyala
mFBeS,umukwasu
mFeBS,umukulu
mFyBS,umwanice
mMZeS,umukwasu
mMeZS,umukwasu
mMyZS,umukwasu
mFZeS,umufyala
mFeZS,umufyala
mFyZS,umufyala
mMBeD,umufyala
mMeBD,umufyala
mMyBD,umufyala
mFBeD,inkasi
mFeBD,inkasi
mFyBD,inkasi
mMZeD,inkasi
mMeZD,umukulu
mMyZD,umwanice
mFZeD,umufyala
mFeZD,umufyala
mFyZD,umufyala
fB,indume
feZ,umukulu
fyZ,umwanice
