parameter,word
mM,siina
mF,siama
mMeB,posiamao
mFeB,posiamao
mMeZ,posinao -nye
mFeZ,posinao -nye
meZ,sia'a
myZ,tuai
mMBeS,soungaang seinsang
mMeBS,soungaang seinsang
mMyBS,soungaang seinsang
mFBeS,soungaang seinsang
mFeBS,soungaang seinsang
mFyBS,soungaang seinsang
mMZeS,soungaang seinsang
mMeZS,soungaang seinsang
mMyZS,soungaang seinsang
mFZeS,soungaang seinsang
mFeZS,soungaang seinsang
mFyZS,soungaang seinsang
mMBeD,soungaang seinsang
mMeBD,soungaang seinsang
mMyBD,soungaang seinsang
mFBeD,soungaang seinsang
mFeBD,soungaang seinsang
mFyBD,soungaang seinsang
mMZeD,soungaang seinsang
mMeZD,soungaang seinsang
mMyZD,soungaang seinsang
mFZeD,soungaang seinsang
mFeZD,soungaang seinsang
mFyZD,soungaang seinsang
feB,sia'a
fyB,tuai
