parameter,word
mM,mama
mF,tata
mMeB,mandumi
mFeB,tata wamukulumpi
mFyB,tata wakansi
mMeZ,mama wamukulumpi
mMyZ,mama wakansi
mFeZ,tatankaji
meB,yaya
myB,mwanyikami
meZ,yaya
myZ,mwanyikami
mMBeS,musonoi
mMeBS,musonoi
mMyBS,musonoi
mFBeS,yaya
mFByS,mwanyikami
mMZeS,yaya
mMZyS,mwanyikami
mFZeS,musonoi
mFeZS,musonoi
mFyZS,musonoi
mMBeD,musonoi
mMeBD,musonoi
mMyBD,musonoi
mFBeD,muhela
mFeBD,muhela
mFyBD,muhela
mMZeD,muhela
mMeZD,muhela
mMyZD,muhela
mFZeD,musonoi
mFeZD,musonoi
mFyZD,musonoi
fB,manakwami
