parameter,word
mM,sja
mMeB,toea
mFeB,toea
mMeZ,fofoi
mFeZ,fofoi
meB,tenoe
myB,rimori tamoni
meZ,rimori mpinte
mMeBS,fonoe tamoni
mMyBS,fonoe tamoni
mFeBS,fonoe tamoni
mFyBS,fonoe tamoni
mMeZS,fonoe tamoni
mMyZS,fonoe tamoni
mFeZS,fonoe tamoni
mFyZS,fonoe tamoni
mMeBD,fonoe mpin
mMyBD,fonoe mpin
mFeBD,fonoe mpin
mFyBD,fonoe mpin
mMeZD,fonoe mpin
mMyZD,fonoe mpin
mFeZD,fonoe mpin
mFyZD,fonoe mpin
fF,mama
feB,rimori tamoni
feZ,remo
fyZ,rimori mpinte
