parameter,word
mF,-tata
mMBeS,-elpik
mMeBS,-elpik
mMyBS,-elpik
mFBeS,-elpik
mFeBS,-elpik
mFyBS,-elpik
mMZeS,-elpik
mMeZS,-elpik
mMyZS,-elpik
mFZeS,-elpik
mFeZS,-elpik
mFyZS,-elpik
mMBeD,-elpik
mMeBD,-elpik
mMyBD,-elpik
mFBeD,-elpik
mFeBD,-elpik
mFyBD,-elpik
mMZeD,-elpik
mMeZD,-elpik
mMyZD,-elpik
mFZeD,-elpik
mFeZD,-elpik
mFyZD,-elpik
fM,-nene
fMBeS,-ilpik
fMeBS,-ilpik
fMyBS,-ilpik
fFBeS,-ilpik
fFeBS,-ilpik
fFyBS,-ilpik
fMZeS,-ilpik
fMeZS,-ilpik
fMyZS,-ilpik
fFZeS,-ilpik
fFeZS,-ilpik
fFyZS,-ilpik
fMBeD,-ilpik
fMeBD,-ilpik
fMyBD,-ilpik
fFBeD,-ilpik
fFeBD,-ilpik
fFyBD,-ilpik
fMZeD,-ilpik
fMeZD,-ilpik
fMyZD,-ilpik
fFZeD,-ilpik
fFeZD,-ilpik
fFyZD,-ilpik
