parameter,word
mM,tina
mF,tama
mMeB,elukwa
mFeB,tama
mMeZ,tina
mFeZ,pwapwa
meZ,tari
myZ,to'a
mMBeS,tari
mMByS,to'a
mFBeS,tari
mFByS,to'a
mMZeS,tari
mMZyS,to'a
mFZeS,tari
mFZyS,to'a
mMBeD,tari
mMByD,to'a
mFBeD,tari
mFByD,to'a
mMZeD,tari
mMZyD,to'a
mFZeD,tari
mFZyD,to'a
feB,tari
fyB,to'a
feZ,a'a
fMBeS,tari
fMByS,to'a
fFBeS,tari
fFByS,to'a
fMZeS,tari
fMZyS,to'a
fFZeS,tari
fFZyS,to'a
fMBeD,tari
fMByD,to'a
fFBeD,tari
fFByD,to'a
fMZeD,tari
fMZyD,to'a
fFZeD,tari
fFZyD,to'a
