parameter,word
mM,kui
mF,motua
mMeB,motua-nui
mMyB,motua-iti
mFeB,motua-nui
mFyB,motua-iti
mMeZ,kui-nui
mMyZ,kui-iti
mFeZ,kui-nui
mFyZ,kui-iti
meB,tuakana
myB,teina
meZ,tue'ine
mMBeS,tuakana
mMByS,teina
mFBeS,tuakana
mFByS,teina
mMZeS,tuakana
mMZyS,teina
mFZeS,tuakana
mFZyS,teina
mMBeD,tue'ine
mMeBD,tue'ine
mMyBD,tue'ine
mFBeD,tue'ine
mFeBD,tue'ine
mFyBD,tue'ine
mMZeD,tue'ine
mMeZD,tue'ine
mMyZD,tue'ine
mFZeD,tue'ine
mFeZD,tue'ine
mFyZD,tue'ine
feB,tuagane
feZ,tuakana
fyZ,teina
fMBeS,tugane
fMeBS,tugane
fMyBS,tugane
fFBeS,tugane
fFeBS,tugane
fFyBS,tugane
fMZeS,tugane
fMeZS,tugane
fMyZS,tugane
fFZeS,tugane
fFeZS,tugane
fFyZS,tugane
fMBeD,tuakana
fMByD,teina
fFBeD,tuakana
fFByD,teina
fMZeD,tuakana
fMZyD,teina
fFZeD,tuakana
fFZyD,teina
