parameter,word
mM,ɲuke
mF,čaw
mMeB,weku
mFeB,malʸe
mMeZ,ɲuke-ntu
mFeZ,pal̯u
meB,lamŋen
myB,inan lamŋen
meZ,lamŋen
myZ,inan lamŋen
mMBeS,ɲukentu
mMeBS,ɲukentu
mMyBS,ɲukentu
mFBeS,ɲukentu
mFeBS,ɲukentu
mFyBS,ɲukentu
mMZeS,ɲukentu
mMeZS,ɲukentu
mMyZS,ɲukentu
mFZeS,ɲukentu
mFeZS,ɲukentu
mFyZS,ɲukentu
mMBeD,ɲukentu
mMeBD,ɲukentu
mMyBD,ɲukentu
mFBeD,ɲukentu
mFeBD,ɲukentu
mFyBD,ɲukentu
mMZeD,ɲukentu
mMeZD,ɲukentu
mMyZD,ɲukentu
mFZeD,ɲukentu
mFeZD,ɲukentu
mFyZD,ɲukentu
