parameter,word
mM,wah
mF,ehway
mMeB,wahok
mFeB,ehway
mMeZ,wah
mFeZ,ehwyak
meZ,maɣay-anum
myZ,es-anum
mMBeS,ihanos
mMeBS,ihanos
mMyBS,ihanos
mFBeS,namek
mFeBS,namek
mFyBS,namek
mMZeS,ihanos
mMeZS,ihanos
mMyZS,ihanos
mFZeS,ihanos
mFeZS,ihanos
mFyZS,ihanos
mMBeD,ihanos
mMeBD,ihanos
mMyBD,ihanos
mFBeD,namuk
mFeBD,namuk
mFyBD,namuk
mMZeD,ihanos
mMeZD,ihanos
mMyZD,ihanos
mFZeD,ihanos
mFeZD,ihanos
mFyZD,ihanos
feB,maɣay-anem
fyB,es-anem
