parameter,word
mM,icia
mF,baaba
mMeB,muntuetû
mFeB,baaba mûkûrû
mFyB,baaba mwanake
mMeZ,ciomûkûrû
mMyZ,ciomwanake
mFeZ,mwarewaaba
meB,mutaanocia mûkûrû
myB,mutaanocia mwanake
meZ,mwareocia mûkûrû
myZ,mwareocia mwanake
mMBeS,muntuetû
mMeBS,muntuetû
mMyBS,muntuetû
mFBeS,mutaanocia
mFeBS,mutaanocia
mFyBS,mutaanocia
mMZeS,ndûgû
mMeZS,ndûgû
mMyZS,ndûgû
mFZeS,mwonomware waaba
mFeZS,mwonomware waaba
mFyZS,mwonomware waaba
mMBeD,icia
mMeBD,icia
mMyBD,icia
mFBeD,mwareocia
mFeBD,mwareocia
mFyBD,mwareocia
mMZeD,ndûgû
mMeZD,ndûgû
mMyZD,ndûgû
mFZeD,mwonomware waaba
mFeZD,mwonomware waaba
mFyZD,mwonomware waaba
fM,ntee
fMeZ,nkoolo
fMyZ,kaake
fFeZ,nkoolo
fFyZ,kaake
fFZeS,kana ka mware waaba
fFeZS,kana ka mware waaba
fFyZS,kana ka mware waaba
fMBeD,nkoolo
fMByD,kaake
fFBeD,mwareoba
fFeBD,mwareoba
fFyBD,mwareoba
fFZeD,kana ka mware waaba
fFeZD,kana ka mware waaba
fFyZD,kana ka mware waaba
