parameter,word
mM,mitera
mF,pateras
mMeB,barbas
mFeB,barbas
mMeZ,theia
mFeZ,theia
meB,adhelphos
meZ,adelphi
mMBeS,exadelphos
mMeBS,exadelphos
mMyBS,exadelphos
mFBeS,exadelphos
mFeBS,exadelphos
mFyBS,exadelphos
mMZeS,exadelphos
mMeZS,exadelphos
mMyZS,exadelphos
mFZeS,exadelphos
mFeZS,exadelphos
mFyZS,exadelphos
mMBeD,exadelphi
mMeBD,exadelphi
mMyBD,exadelphi
mFBeD,exadelphi
mFeBD,exadelphi
mFyBD,exadelphi
mMZeD,exadelphi
mMeZD,exadelphi
mMyZD,exadelphi
mFZeD,exadelphi
mFeZD,exadelphi
mFyZD,exadelphi
