parameter,word
mF,aʼ-kǐ
mMeB,um-uʼ-shǐ
mFeB,aʼ-kǐ
mMeZ,ushʼ-kǐ
mFeZ,a-hucʼ-ni
meB,um-unʼ-nǐ
myB,sä-näkʼ-fish
meZ,anʼ-take
mMBeS,suhʼ-soh
mFBeS,a-näkʼ-fǐ
mFByS,et-e-bäʼ-pǐ-shǐ-lǐ
mMZeS,um-unʼ-nǐ
mMZyS,sä-näkʼ-fish
mFZeS,aʼ-kǐ
mMBeD,suhʼ-sohʼ-take
mFBeD,anʼ-take
mMZeD,anʼ-take
mFZeD,ushʼ-kǐ
fM,ushʼ-kǐ
fFeZ,up-pokʼ-ni
feB,a-näkʼ-fǐ
fyB,a-nakʼ-fǐ
feZ,um-unʼ-nǐ
fyZ,sä-näkʼ-fish
fMZeS,a-näkʼ-fǐ
fFBeD,et-e-bäʼ-pǐ-shǐ-lǐ
fMZeD,um-unʼ-nǐ
fMZyD,sä-näkʼ-fish
