parameter,word
mM,en-naʼ
mMeB,soo-eʼ
mFeB,te-anghʼ
mMeZ,na-ainghʼ
mFeZ,säʼ-kiʼ
meB,soonʼ-da-ga
myB,saʼ-chǎ
meZ,saʼ-che
myZ,sa-chith
mMBeS,soonʼ-da-ga
mMByS,saʼ-chǎ
mFBeS,soonʼ-da-ga
mFByS,saʼ-chǎ
mMZeS,soonʼ-da-ga
mMZyS,saʼ-chǎ
mFZeS,soonʼ-da-ga
mFZyS,saʼ-chǎ
mMBeD,saʼ-che
mMByD,saʼ-chithʼ
mFBeD,saʼ-che
mFByD,sa-chithʼ
mMZeD,saʼ-che
mMZyD,sa-chith
mFZeD,saʼ-che
mFZyD,saʼ-chithʼ
fF,te-͡anghʼ
fMByD,sa-chith
fFByD,sa-chith
fMZeD,sa-cheʼ
fMZyD,sa-chithʼ
fFZeD,sa-cheʼ
fFZyD,sa-chithʼ
