parameter,word
mM,n'-gäʼ-we
mF,nohˑ-täʼ-we
mMeB,nee-sisʼ
mMeZ,n'-doʼ-sis
mFeZ,nis-sǐʼ-goosʼ
meB,neese-taseʼ
myB,ne-semeʼ
meZ,ne-misʼ
myZ,ne-shemeʼ
mMBeS,neest-chäsʼ
mFBeS,neese-taseʼ
mFByS,ne-semeʼ
mMZeS,neese-taseʼ
mMZyS,ne-semeʼ
mFZeS,neesʼ-chäs
mFZyS,neeseʼ-chäs
mMBeD,neeʼ-che-moos
mFBeD,ne-misʼ
mFByD,ne-seʼ-mis
mMZeD,ne-misʼ
mMZyD,ne-shemeʼ
mFZeD,neeʼ-che-moos
fFeB,noʼ-ko-mis
fMBeS,neeʼ-che-moos
fFZeS,neeʼ-che-moos
fMBeD,n'-jäʼ-koase
fFZeD,n'-jäʼ-koase
