parameter,word
mM,nǎ-ke-͡aʼ
mF,noss
mMeB,nǎ-zhe-sǎʼ
mFeB,nǒss
mMeZ,nǎ-ke-͡ǎʼ
mFeZ,nak-yeʼ-hä
meB,na-saʼ-mä
myB,nǎ-seʼ-mǎ
meZ,nǎ-misʼ-sǎ
myZ,nǎ-seʼ-mǎ
mMBeS,nǎ-zhe-sǎʼ
mFBeS,nǎ-saʼ-mä
mFByS,ne-seʼ-mǎ
mMZeS,nǎ-saʼ-mä
mMZyS,nǎ-seʼ-mǎ
mFZeS,nǎ-nǎʼ-kwä-nis
mFZyS,nǎ-nǎʼ-gwä-nls
mMBeD,na-ke-͡ǎʼ
mMByD,na-ke-͡aʼ
mFBeD,nǎ-misʼ-sǎ
mFByD,nǎ-seʼ-mǎ
mMZeD,nǎ-misʼ-sǎ
mMZyD,nǎ-seʼ-mǎ
mFZeD,nǎ-shǎ-misʼ
fFByS,na-seʼ-mǎ
fMZeS,na-saʼ-mä
fFZeS,nǎ-kwisʼ-sä
fMZeD,na-misʼ-sǎ
fFZeD,nǎ-täʼ-nis
