parameter,word
mM,n'-gäʼ-we
mF,nohˑ-täʼ-we
mMeB,nee-sisʼ
mMeZ,n'-doʼ-sis
mFeZ,nis-se-goosʼ
meB,neese-taseʼ
myB,ne-sha-mishʼ
meZ,ne-mishʼ
myZ,ne-sha-mishʼ
mMBeS,nee-säsʼ
mFBeS,neese-taseʼ
mFByS,ne-sha-mishʼ
mMZeS,neese-taseʼ
mMZyS,ne-sha-mishʼ
mFZeS,nee-säsʼ
mFZyS,neeʼ-säsʼ
mMBeD,neeʼ-che-moosh
mFBeD,ne-mishʼ
mFByD,ne-she-mishʼ
mMZeD,ne-mishʼ
mMZyD,ne-she-mishʼ
mFZeD,neeʼ-che-moosh
fFeB,noʼ-ko-mish
fMBeS,neeʼ-che-moosh
fFZeS,neeʼ-she-moos
fFZyS,neeʼ-che-moosh
fMBeD,n'-jäʼ-koase
fFByD,ne-sha-mishʼ
fFZeD,n'-jäʼ-koase
fFZyD,n'-däʼ-koase
