parameter,word
mM,ide
mF,ilau
mMeB,tumno
mMeZ,babu
mFeZ,babu
meZ,lutno
mMBeS,adou
mMeBS,adou
mMyBS,adou
mFBeS,aten
mFeBS,aten
mFyBS,aten
mMZeS,aten
mMeZS,aten
mMyZS,aten
mFZeS,adou
mFeZS,adou
mFyZS,adou
mMBeD,lutno
mMeBD,lutno
mMyBD,lutno
mFBeD,aten
mFeBD,aten
mFyBD,aten
mMZeD,aten
mMeZD,aten
mMyZD,aten
mFZeD,lutno
mFeZD,lutno
mFyZD,lutno
feB,lutno
feZ,atua
fyZ,agatno
fMBeS,lutno
fMeBS,lutno
fMyBS,lutno
fMZeS,adou
fMeZS,adou
fMyZS,adou
fFZeS,lutno
fFeZS,lutno
fFyZS,lutno
fMBeD,adou
fMeBD,adou
fMyBD,adou
fFZeD,adou
fFeZD,adou
fFyZD,adou
