parameter,word
mM,-ši
mF,we bai
mMeB,o djorit
mMeZ,ai Ĩ
mFeZ,adjung djung
meB,wanyũ
myB,kítpit
meZ,we shit
myZ,w-əiʃĩ́t
mMBeS,wanyũ
mMByS,o köt
mMeBS,wanyũ
mMyBS,o köt
mFBeS,wanyũ
mFByS,o köt
mFeBS,wanyũ yũ
mFyBS,o kit pit
mMZeS,wanyũ
mMZyS,o köt
mMeZS,wanyũ yũ
mMyZS,o kit pit
mFZeS,wanyũ
mFZyS,o köt
mFeZS,wanyũ
mFyZS,o köt
mMBeD,da ũ
mMeBD,da ũ
mMyBD,da ũ
mFBeD,da ũ
mFeBD,da ũ
mFyBD,da ũ
mMZeD,da ũ
mMeZD,da ũ
mMyZD,da ũ
mFZeD,da ũ
mFeZD,da ũ
mFyZD,da ũ
fMeZ,o-kibitaap
feB,o-waŋṍ
fyB,kipít
