parameter,word
mM,iya
mF,rèra
mMeB,ngw'onèró zaḿi
mMyB,ngw'erumbe zaḿi
mFeB,rer'onèró zaḿi
mFyB,rer'erumbe zaḿi
mMeZ,ngwè
mFeZ,ezómbi za rer'iyaḿi
meB,onèró zaḿi
myB,nkovuni
mZ,ezómbi
mMBeS,ndjalyè noḿe
mMByS,awongwè
mMeBS,awongwè
mMyBS,awongwè
mFBeS,ndjalyè noḿe
mFByS,awarerè
mFeBS,awarerè
mFyBS,awarerè
mMZeS,ndjalyè noḿe
mMZyS,awongwè
mMeZS,awongwè
mMyZS,awongwè
mFZeS,ndjalyè noḿe
mFZyS,awarerè
mFeZS,awarerè
mFyZS,awarerè
mMBeD,ndjalyè nanto
mMByD,ezómbi
mMeBD,ezómbi
mMyBD,ezómbi
mFBeD,ndjalyè nanto
mFByD,ezómbi
mFeBD,ezómbi
mFyBD,ezómbi
mMZeD,ndjalyè nanto
mMZyD,ezómbi
mMeZD,ezómbi
mMyZD,ezómbi
mFZeD,ndjalyè nanto
mFZyD,ezómbi
mFeZD,ezómbi
mFyZD,ezómbi
fMeB,mbal'waḿi
fFeB,rèrè
feZ,ngwè
fyZ,nkovuni
fMBeD,ngwè
fMeBD,awongwè
fMyBD,awongwè
fFBeD,ngwè
fFeBD,awarerè
fFyBD,awarerè
fMZeD,ngwè
fMeZD,awongwè
fMyZD,awongwè
fFZeD,ngwè
fFeZD,awarerè
fFyZD,awarerè
