parameter,word
mM,iyo
mF,abo
mMeB,iyos is
mFeB,abos is
mMeZ,iyoisi
mFeZ,aboisi
meB,is
myB,itʼino is
meZ,isi
myZ,itʼino isi
mMBeS,waccal
mMeBS,waccal
mMyBS,waccal
mFBeS,waccal
mFeBS,waccal
mFyBS,waccal
mMZeS,waccal
mMeZS,waccal
mMyZS,waccal
mFZeS,waccal
mFeZS,waccal
mFyZS,waccal
mMBeD,yaccal
mMeBD,yaccal
mMyBD,yaccal
mFBeD,yaccal
mFeBD,yaccal
mFyBD,yaccal
mMZeD,yaccal
mMeZD,yaccal
mMyZD,yaccal
mFZeD,yaccal
mFeZD,yaccal
mFyZD,yaccal
