parameter,word
mM,tinan
mF,taman
mMeB,kabin
mMeZ,kabin
meZ,tatahinalik
mMBeS,turak
mMeBS,turak
mMyBS,turak
mFBeS,turak
mFeBS,turak
mFyBS,turak
mMZeS,matmatatahinaliki
mMeZS,matmatatahinaliki
mMyZS,matmatatahinaliki
mFZeS,turak
mFeZS,turak
mFyZS,turak
mMBeD,turak
mMeBD,turak
mMyBD,turak
mFBeD,turak
mFeBD,turak
mFyBD,turak
mMZeD,turak
mMeZD,turak
mMyZD,turak
mFZeD,turak
mFeZD,turak
mFyZD,turak
fMeB,totuen
fMeZ,totuen
feB,tatahinalik
feZ,tahinalik
