parameter,word
mM,nimama
mF,nidada
mMeB,nihishes
mFeB,nomoshomis
mMeZ,n'doses
mFeZ,nisekoos
meB,nishikwese
myB,nijimish
meZ,nidawema
myZ,nijimish
mMBeS,nitaoos
mMeBS,
mMyBS,
mFBeS,nishikwese
mFByS,nijimish
mFeBS,
mFyBS,
mMZeS,nishikwese
mMZyS,nijimish
mMeZS,
mMyZS,
mFZeS,nitaoos
mFeZS,
mFyZS,
mMBeD,nimen
mMeBD,
mMyBD,
mFBeD,nidawema
mFByD,nijimish
mFeBD,
mFyBD,
mMZeD,nidawema
mMZyD,nijimish
mMeZD,
mMyZD,
mFZeD,nimen
mFeZD,
mFyZD,
feB,nishimes
feZ,nimises
fMBeS,nijimoos
fMeBS,nijimoos
fMyBS,nijimoos
fFBeS,nishimes
fMZeS,nishimes
fFZeS,nijimoos
fFeZS,nijimoos
fFyZS,nijimoos
fMBeD,nijakoos
fMeBD,nijakoos
fMyBD,nijakoos
fFBeD,nimises
fFeBD,nimises
fFyBD,nimises
fMZeD,nimises
fMeZD,nimises
fMyZD,nimises
fFZeD,nijakoos
fFeZD,nijakoos
fFyZD,nijakoos
