parameter,word
mM,ʔemmā
mF,ʔabbā
mMeB,χālā
mFeB,dādā
meB,ʔaχā
myB,ʔaxā zʁērā
meZ,χātā
myZ,χātā zʁērtā
mMBeS,bar-dādā
mMeBS,bar-dādā
mMyBS,bar-dādā
mFBeS,bar-dādā
mFeBS,bar-dādā
mFyBS,bar-dādā
mMZeS,bar-dādā
mMeZS,bar-dādā
mMyZS,bar-dādā
mFZeS,bar-dādā
mFeZS,bar-dādā
mFyZS,bar-dādā
mMBeD,bar-dādā
mMeBD,bar-dādā
mMyBD,bar-dādā
mFBeD,bar-dādā
mFeBD,bar-dādā
mFyBD,bar-dādā
mMZeD,bar-dādā
mMeZD,bar-dādā
mMyZD,bar-dādā
mFZeD,bar-dādā
mFeZD,bar-dādā
mFyZD,bar-dādā
