parameter,word
mM,deguat
mF,mas
mMeB,cutziguat
mMyB,taiguat
mFeB,cumuguat
mFyB,teviriguat
mMeZ,tepó
mMyZ,deri-
mFeZ,deri-
meB,vapaci
myB,vonigua
meZ,cotziguat
myZ,viniwa
mMBeS,maguât
mMeBS,maguât
mMyBS,maguât
mFBeS,maguât
mFeBS,maguât
mFyBS,maguât
mMZeS,maguât
mMeZS,maguât
mMyZS,maguât
mFZeS,maguât
mFeZS,maguât
mFyZS,maguât
mMBeD,maguât
mMeBD,maguât
mMyBD,maguât
mFBeD,maguât
mFeBD,maguât
mFyBD,maguât
mMZeD,maguât
mMeZD,maguât
mMyZD,maguât
mFZeD,maguât
mFeZD,maguât
mFyZD,maguât
fMyB,aiguat
