parameter,word
mM,http://auslan.org.au/dictionary/words/mother-1.html
mF,http://auslan.org.au/dictionary/words/father-1.html
mMeB,http://auslan.org.au/dictionary/words/uncle-1.html
mFeB,http://auslan.org.au/dictionary/words/uncle-1.html
mMeZ,http://auslan.org.au/dictionary/words/aunt-1.html
mFeZ,http://auslan.org.au/dictionary/words/aunt-1.html
meZ,http://auslan.org.au/dictionary/words/sister-1.html
mMBeS,http://auslan.org.au/dictionary/words/cousin-1.html
mMeBS,http://auslan.org.au/dictionary/words/cousin-1.html
mMyBS,http://auslan.org.au/dictionary/words/cousin-1.html
mFBeS,http://auslan.org.au/dictionary/words/cousin-1.html
mFeBS,http://auslan.org.au/dictionary/words/cousin-1.html
mFyBS,http://auslan.org.au/dictionary/words/cousin-1.html
mMZeS,http://auslan.org.au/dictionary/words/cousin-1.html
mMeZS,http://auslan.org.au/dictionary/words/cousin-1.html
mMyZS,http://auslan.org.au/dictionary/words/cousin-1.html
mFZeS,http://auslan.org.au/dictionary/words/cousin-1.html
mFeZS,http://auslan.org.au/dictionary/words/cousin-1.html
mFyZS,http://auslan.org.au/dictionary/words/cousin-1.html
mMBeD,http://auslan.org.au/dictionary/words/cousin-1.html
mMeBD,http://auslan.org.au/dictionary/words/cousin-1.html
mMyBD,http://auslan.org.au/dictionary/words/cousin-1.html
mFBeD,http://auslan.org.au/dictionary/words/cousin-1.html
mFeBD,http://auslan.org.au/dictionary/words/cousin-1.html
mFyBD,http://auslan.org.au/dictionary/words/cousin-1.html
mMZeD,http://auslan.org.au/dictionary/words/cousin-1.html
mMeZD,http://auslan.org.au/dictionary/words/cousin-1.html
mMyZD,http://auslan.org.au/dictionary/words/cousin-1.html
mFZeD,http://auslan.org.au/dictionary/words/cousin-1.html
mFeZD,http://auslan.org.au/dictionary/words/cousin-1.html
mFyZD,http://auslan.org.au/dictionary/words/cousin-1.html
feB,http://auslan.org.au/dictionary/words/brother-1.html
