parameter,word
mM,-iva
mF,-imang
mMeB,-imang era
mFeB,-imang
mMeZ,-iva
meZ,-edi
mMBeS,-ebheang
mMeBS,-ebheang
mMyBS,-ebheang
mFBeS,-kaku
mFeBS,-kaku
mFyBS,-kaku
mMZeS,-kaku
mMeZS,-kaku
mMyZS,-kaku
mFZeS,-ebheang
mFeZS,-ebheang
mFyZS,-ebheang
mMBeD,-ebheang
mMeBD,-ebheang
mMyBD,-ebheang
mFBeD,-edi
mFeBD,-edi
mFyBD,-edi
mMZeD,-edi
mMeZD,-edi
mMyZD,-edi
mFZeD,-ebheang
mFeZD,-ebheang
mFyZD,-ebheang
feB,-edi
feZ,-kaku
fMBeS,-ebheang
fMeBS,-ebheang
fMyBS,-ebheang
fFBeS,-edi
fFeBS,-edi
fFyBS,-edi
fMZeS,-edi
fMeZS,-edi
fMyZS,-edi
fFZeS,-ebheang
fFeZS,-ebheang
fFyZS,-ebheang
fMBeD,-ebheang
fMeBD,-ebheang
fMyBD,-ebheang
fFBeD,-kaku
fFeBD,-kaku
fFyBD,-kaku
fMZeD,-kaku
fMeZD,-kaku
fMyZD,-kaku
fFZeD,-ebheang
fFeZD,-ebheang
fFyZD,-ebheang
