parameter,word
mM,nɛnɛrera:'ei 
mF,neia‘
mMeB,a:ku‘
mFeB,nefa‘
mMeZ,
mFeZ,mɔ:mɔ:
meZ,nɛza:rɔ:ei 
mMBeS,nɛnafu 
mMeBS,nɛnafu 
mMyBS,nɛnafu 
mFBeS,
mFeBS,
mFyBS,
mMZeS,
mMeZS,
mMyZS,
mFZeS,nɛnafu 
mFeZS,nɛnafu 
mFyZS,nɛnafu 
mMBeD,nɛnafu 
mMeBD,nɛnafu 
mMyBD,nɛnafu 
mFBeD,
mFeBD,
mFyBD,
mMZeD,
mMeZD,
mMyZD,
mFZeD,nɛnafu 
mFeZD,nɛnafu 
mFyZD,nɛnafu 
fM,
fF,
fMeB,
fFeB,
fFeZ,
feB,
feZ,
fMBeS,
fMeBS,
fMyBS,
fFZeS,
fFeZS,
fFyZS,
fMBeD,
fMeBD,
fMyBD,
fFZeD,
fFeZD,
fFyZD,
