parameter,word
mM,ita‘
mF,afə:' 
mMeB,aku‘
mFeB,afɔ:' 
mMeZ,
mFeZ,mɔ:mɔ:
meZ,neineza'ai 
mMBeS,nɛnafu 
mMeBS,nɛnafu 
mMyBS,nɛnafu 
mFBeS,
mFeBS,
mFyBS,
mMZeS,
mMeZS,
mMyZS,
mFZeS,nɛnafu 
mFeZS,nɛnafu 
mFyZS,nɛnafu 
mMBeD,nɛnafu 
mMeBD,nɛnafu 
mMyBD,nɛnafu 
mFBeD,
mFeBD,
mFyBD,
mMZeD,
mMeZD,
mMyZD,
mFZeD,nɛnafu 
mFeZD,nɛnafu 
mFyZD,nɛnafu 
fM,
fF,
fMeB,
fFeB,
fFeZ,
feB,
feZ,
fMBeS,
fMeBS,
fMyBS,
fFZeS,
fFeZS,
fFyZS,
fMBeD,
fMeBD,
fMyBD,
fFZeD,
fFeZD,
fFyZD,
