parameter,word
mM,ama
mF,apa
mMeB,awa
mFeB,mai
mMeZ,papa
mFeZ,arobo
meZ,bali
mMBeS,kai
mMeBS,kai
mMyBS,kai
mFBeS,ame
mFeBS,ame
mFyBS,ame
mMZeS,ame
mMeZS,ame
mMyZS,ame
mFZeS,kai
mFeZS,kai
mFyZS,kai
mMBeD,kai
mMeBD,kai
mMyBD,kai
mFBeD,bali
mFeBD,bali
mFyBD,bali
mMZeD,bali
mMeZD,bali
mMyZD,bali
mFZeD,kai
mFeZD,kai
mFyZD,kai
feB,bali
feZ,aki
fFBeS,bali
fFeBS,bali
fFyBS,bali
fMZeS,bali
fMeZS,bali
fMyZS,bali
fFBeD,aki
fFeBD,aki
fFyBD,aki
fMZeD,aki
fMeZD,aki
fMyZD,aki
