parameter,word
mM,máramu
mF,abéra
mMeB,gáu
mMyB,míduabéra
mFeB,gáu
mFyB,wápabéra
mMeZ,gáu
mMyZ,mídumáramu
mFeZ,gáu
mFyZ,wápomáramu
meZ,mábirirárobo
myZ,nirirárobo
mMBeS,námu
mMByS,níriradúbu
mFBeS,námu
mFByS,níriradúbu
mMZeS,námu
mMZyS,níriradúbu
mFZeS,námu
mFZyS,níriradúbu
mMBeD,mábirirárobo
mMByD,nirirárobo
mFBeD,mábirirárobo
mFByD,nirirárobo
mMZeD,mábirirárobo
mMZyD,nirirárobo
mFZeD,mábirirárobo
mFZyD,nirirárobo
feB,námu
fyB,níriradúbu
