parameter,word
mM,cì'nándí
mF,cì'àˑcí
mMeB,сìdà'á
mFeB,cìbídjí
mMeZ,cì'nándí
mFeZ,cìbídjí
meB,сìcdàˑ
meZ,cìmbádí
mMBeS,cìkìsí
mMeBS,cìkìsí
mMyBS,cìkìsí
mFBeS,cìkìsí
mFeBS,cìkìsí
mFyBS,cìkìsí
mMZeS,cìkìsí
mMeZS,cìkìsí
mMyZS,cìkìsí
mFZeS,cìkìsí
mFeZS,cìkìsí
mFyZS,cìkìsí
mMBeD,сìt'cílà'
mMeBD,сìt'cílà'
mMyBD,сìt'cílà'
mFBeD,сìt'cílà'
mFeBD,сìt'cílà'
mFyBD,сìt'cílà'
mMZeD,сìt'cílà'
mMeZD,сìt'cílà'
mMyZD,сìt'cílà'
mFZeD,сìt'cílà'
mFeZD,сìt'cílà'
mFyZD,сìt'cílà'
