parameter,word
mM,eʼ-nah
mF,ah-taʼ
mMeB,lakeʼ-she
mFeB,ah-taʼ
mMeZ,eʼ-nah
mFeZ,toh-weʼ
meB,cheʼ-a
myB,me-sohʼ
meZ,tä-kaʼ
myZ,me-tänkʼ-she
mMBeS,täʼ-she
mFBeS,tib-a-loʼ
mFByS,me-sohʼ
mMZeS,cheʼ-a
mMZyS,me-sohʼ
mFZeS,täʼ-she
mMBeD,hun-käʼ-she
mFBeD,tä-kaʼ
mFByD,me-tunkʼ-she
mMZeD,tä-kaʼ
mMZyD,me-tunkʼ-she
mFZeD,hun-käʼ-she
feB,tibʼ-a-lo
fyB,me-sohʼ-kä-lä
feZ,chu-waʼ
fyZ,me-tunkʼ-hä-lä
fMBeS,s'cha-paʼ-she
fFByS,me-sohʼ-kä-lä
fMZeS,tibʼ-a-lo
fMZyS,me-sohʼ-kä-lä
fFZeS,s'cha-paʼ-she
fMBeD,s'cha-päʼ-she
fFBeD,chu-waʼ
fFByD,me-tunkʼ-hä-lä
fMZeD,chu-waʼ
fMZyD,me-tunkʼ-hä-lä
fFZeD,s'cha-pä-she
fFZyD,s'cha-päʼ-she
