parameter,word
mM,heenʼ-nä
mF,heenʼ-kä
mMeB,heen-jaʼ-kä
mFeB,heenʼ-kä
mMeZ,heenʼ-nä
mFeZ,heen-tooʼ-me
meB,he-yenʼ-nä
myB,heen-thun̤ʼ-ga
meZ,he-yuʼ-nä
myZ,heen-tan̤ʼ-ya
mMBeS,heen-jaʼ-kä
mFBeS,he-yenʼ-nä
mFByS,heen-thun̤ʼ-ga
mMZeS,he-yenʼ-nä
mMZyS,heen-thun̤ʼ-ga
mFZeS,heen-toansʼ-ka
mFZyS,heen-toasʼ-ka
mMBeD,heenʼ-nah
mMByD,heenʼ-nä
mFBeD,he-yuʼ-nä
mFByD,heen-tanʼ-ya
mMZeD,hee-uʼ-nä
mMZyD,heen-tan̤ʼ-ya
mFZeD,heen-toasʼ-ka-me
fyB,e-chunʼ-cha
feZ,heen-tan̤ʼ-ga
fyZ,heen-tun̤ʼ-ga
fFByS,e-chunʼ-cha
fMZyS,e-chunʼ-cha
fFZeS,hee-yin̤ʼ-ga
fFBeD,heen-tan̤ʼ-ga
fFByD,heen-tun̤ʼ-ga
fMZeD,heen-tan̤ʼ-ga
fMZyD,heen-tun̤ʼ-ya
fFZeD,heen-yun̤ʼ-ga
