parameter,word
mM,aaka
mF,apa
mMeB,angaluk
mFeB,angaluk
mMeZ,atcak
mFeZ,atcak
meB,apiak
myB,nukatceak
meZ,ataurok
myZ,nukatceak
mMBeS,akanakan
mMeBS,akanakan
mMyBS,akanakan
mFBeS,akanakan
mFeBS,akanakan
mFyBS,akanakan
mMZeS,akanakan
mMeZS,akanakan
mMyZS,akanakan
mFZeS,akanakan
mFeZS,akanakan
mFyZS,akanakan
mMBeD,ainak
mMeBD,ainak
mMyBD,ainak
mFBeD,ainak
mFeBD,ainak
mFyBD,ainak
mMZeD,ainak
mMeZD,ainak
mMyZD,ainak
mFZeD,ainak
mFeZD,ainak
mFyZD,ainak
