parameter,word
mM,y-ān
mF,y-ānkˀo
mMeB,šawr
mFeB,ye'penk
mMeZ,šawr-wn
mFeZ,šawr-wn
meB,gō
meZ,gō
mMBeS,heʔm-on
mMeBS,heʔm-on
mMyBS,heʔm-on
mFBeS,heʔm-on
mFeBS,heʔm-on
mFyBS,heʔm-on
mMZeS,heʔm-on
mMeZS,heʔm-on
mMyZS,heʔm-on
mFZeS,heʔm-on
mFeZS,heʔm-on
mFyZS,heʔm-on
mMBeD,heʔm-on
mMeBD,heʔm-on
mMyBD,heʔm-on
mFBeD,heʔm-on
mFeBD,heʔm-on
mFyBD,heʔm-on
mMZeD,heʔm-on
mMeZD,heʔm-on
mMyZD,heʔm-on
mFZeD,heʔm-on
mFeZD,heʔm-on
mFyZD,heʔm-on
