parameter,word
mM,yaya
mF,aba
mMeB,yuma
mFeB,papa
mFyB,papa
mMeZ,mama
mMyZ,mama jojo
mFeZ,goa
meZ,fira
mMBeS,io
mMByS,nongoru
mFBeS,io
mFByS,nongoru
mMZeS,io
mMZyS,nongoru
mFZeS,io
mFZyS,nongoru
mMBeD,hira
mFBeD,hira
mMZeD,hira
mFZeD,hira
fMeB,mama
fMyB,mama jojo
fMeZ,yuma
feB,hira
feZ,io
fyZ,nongoru
fMBeS,fira
fFBeS,fira
fMZeS,fira
fFZeS,fira
fMBeD,io
fMByD,nongoru
fFBeD,io
fFByD,nongoru
fMZeD,io
fMZyD,nongoru
fFZeD,io
fFZyD,nongoru
