parameter,word
mM,yeé pajkó
mF,yeé pajké
mMeB,yeé pajko páume
mFeB,yeé pajké mami
mMeZ,mengó
mFeZ,yeé uaméu
meB,yeé mami
myB,yeé kabi
meZ,yeé mamió
myZ,yeé kabio
mMBeS,yeé utamún majsé
mMeBS,yeé utamún majsé
mMyBS,yeé utamún majsé
mFeBS,mami
mFyBS,nijiá
mMeZS,yeé pajkó majké
mMyZS,yeé pajkó majké
mFZeS,yeé basúke
mFeZS,yeé basúke
mFyZS,yeé basúke
mMBeD,yeé basúko
mMeBD,yeé basúko
mMyBD,yeé basúko
mFeBD,mamió
mFyBD,numió-ká
mMeZD,yeé pajkó majko
mMyZD,yeé pajkó majko
mFZeD,yeé basúko
mFeZD,yeé basúko
mFyZD,yeé basúko
fMBeS,mejkésa majké
fMeBS,mejkésa majké
fMyBS,mejkésa majké
fFZeS,uaméu majké
fFeZS,uaméu majké
fFyZS,uaméu majké
fMBeD,mejkésa majkó
fMeBD,mejkésa majkó
fMyBD,mejkésa majkó
fFZeD,uaméu majkó
fFeZD,uaméu majkó
fFyZD,uaméu majkó
