parameter,word
mM,ngama\'
mF,mori(')
mMeB,gawal
mMyB,muuri\'
mFeB,gunhu(')
mMeZ,ngama\'
mFeZ,mukul
meB,wäwa
myB,yukuyuku
meZ,yapa
myZ,gutha(')
mMBeS,djikali
mMeBS,djikali
mMyBS,djikali
mFBeS,yukuyuku
mFeBS,yukuyuku
mFyBS,yukuyuku
mFZeS,nganapa
mFeZS,nganapa
mFyZS,nganapa
mMBeD,djikali
mMeBD,djikali
mMyBD,djikali
mFBeD,yapa
mFeBD,yapa
mFyBD,yapa
mMZeD,yapa
mMeZD,yapa
mMyZD,yapa
mFZeD,nganapa
mFeZD,nganapa
mFyZD,nganapa
fyZ,yukuyuku
