parameter,word
mM,mor
mF,plar
mMeB,mama
mFeB,akâ
mMeZ,tror
mFeZ,tror
meB,lɑlɑ
myB,wɑṛuke ror
meZ,stʌrʌ xor
myZ,wɑṛuke xor
mMBeS,mèranai tèrpir
mMeBS,mèranai tèrpir
mMyBS,mèranai tèrpir
mFBeS,tarbúr
mFeBS,tarbúr
mFyBS,tarbúr
mMZeS,mèranai tèrpir
mMeZS,mèranai tèrpir
mMyZS,mèranai tèrpir
mFZeS,tarbúr
mFeZS,tarbúr
mFyZS,tarbúr
mMBeD,mèranaiyé tèrprā
mMeBD,mèranaiyé tèrprā
mMyBD,mèranaiyé tèrprā
mFBeD,kaká loer
mFeBD,kaká loer
mFyBD,kaká loer
mMZeD,mèranaiyé tèrprā
mMeZD,mèranaiyé tèrprā
mMyZD,mèranaiyé tèrprā
mFZeD,ploranaiyé tèrprā
mFeZD,ploranaiyé tèrprā
mFyZD,ploranaiyé tèrprā
