parameter,word
mM,mama
mF,ney
mMeB,kahka
mFeB,yũũkwe
mMeZ,pee-yũkwe
mFeZ,pee-c̷uhc̷
meB,yakh-thẽʔh
meZ,yakh-thẽʔh
mMBeS,yakh-thẽʔh
mMeBS,yakh-thẽʔh
mMyBS,yakh-thẽʔh
mFBeS,yakh-thẽʔh
mFeBS,yakh-thẽʔh
mFyBS,yakh-thẽʔh
mMZeS,yakh-thẽʔh
mMeZS,yakh-thẽʔh
mMyZS,yakh-thẽʔh
mFZeS,yakh-thẽʔh
mFeZS,yakh-thẽʔh
mFyZS,yakh-thẽʔh
mMBeD,yakh-thẽʔh
mMeBD,yakh-thẽʔh
mMyBD,yakh-thẽʔh
mFBeD,yakh-thẽʔh
mFeBD,yakh-thẽʔh
mFyBD,yakh-thẽʔh
mMZeD,yakh-thẽʔh
mMeZD,yakh-thẽʔh
mMyZD,yakh-thẽʔh
mFZeD,yakh-thẽʔh
mFeZD,yakh-thẽʔh
mFyZD,yakh-thẽʔh
