parameter,word
mM,majka
mF,otac
mMeB,ujak
mFeB,stric
mMeZ,tetka
mFeZ,tetka
meB,brat
meZ,sestra
mMBeS,rodjak
mMeBS,rodjak
mMyBS,rodjak
mFBeS,brat od strica
mFeBS,brat od strica
mFyBS,brat od strica
mMZeS,rodjak
mMeZS,rodjak
mMyZS,rodjak
mFZeS,rodjak
mFeZS,rodjak
mFyZS,rodjak
mMBeD,rodjakinja
mMeBD,rodjakinja
mMyBD,rodjakinja
mFBeD,sestra od strica
mFeBD,sestra od strica
mFyBD,sestra od strica
mMZeD,rodjakinja
mMeZD,rodjakinja
mMyZD,rodjakinja
mFZeD,rodjakinja
mFeZD,rodjakinja
mFyZD,rodjakinja
