parameter,word
mM,mubuguma
mF,låarhaa
mMeB,nyaama-lume
mFeB,mulåarhaa
mMeZ,nyama
mFeZ,nyåamashenge
meB,båabaa
myB,mulumuna
mMBeS,muzaala
mMeBS,muzaala
mMyBS,muzaala
mFeBS,mukulu
mFyBS,mulumuna
mMeZS,mukulu
mMyZS,mulumuna
mFZeS,muzaala
mFeZS,muzaala
mFyZS,muzaala
mMBeD,muzåala
mMeBD,muzåala
mMyBD,muzåala
mFZeD,muzåala
mFeZD,muzåala
mFyZD,muzåala
fB,mushinja
feZ,mukulu
fyZ,mulumuna
fFeBD,mukulu
fFyBD,mulumuna
fMeZD,mukulu
fMyZD,mulumuna
