parameter,word
mM,títa
mF,pápa
mMeB,cóca
mFeB,épa
mMeZ,huáata
mFeZ,náchi
meB,jóchi
myB,chío
meZ,chípi
myZ,chío
mMBeS,jóncho
mMeBS,jóncho
mMyBS,jóncho
mFBeS,jóncho
mFeBS,jóncho
mFyBS,jóncho
mMZeS,cóco
mMeZS,cóco
mMyZS,cóco
mFZeS,jóncho
mFeZS,jóncho
mFyZS,jóncho
mMBeD,ráncho
mMeBD,ráncho
mMyBD,ráncho
mFBeD,ráncho
mFeBD,ráncho
mFyBD,ráncho
mMZeD,ráncho
mMeZD,ráncho
mMyZD,ráncho
mFZeD,ráncho
mFeZD,ráncho
mFyZD,ráncho
fFeZ,benéntita
