parameter,word
mM,wo-tě mo-tsin
mF,wo-tě fǔ-tsin
mMeB,wo-tě mo-kew
mFeB,wo-tě poh-fǔ
mFyB,wo-tě shuh-fǔ
mMeZ,wo-tě ta-e-ma
mMyZ,wo-tě leaon-e-ma
mFeZ,wo-tě kǔtseay
mFyZ,wo-tě kǔ-mo
meB,wo-tě ko-ko
myB,wo-tě heung-te
meZ,wo-tě tseay-tseay
myZ,wo-tě mei-mei
mMBeS,wo-tě peaon-heung-te
mFBeS,wo-tě tang-heung-te
mMZeS,wo-tě e-peason-heung-te
mMZyS,wo-tě e-peaon-heung-te
mFZeS,wo-tě peaon-heung-te
mMBeD,wo-tě peaon-tsze-mei
mFBeD,wo-tě tang-tse-mei
mFByD,wo-tě e-tang-tsze-mei
mMZeD,wo-tě e-peaon-tsze-mei
mFZeD,wo-tě peaon-tsze-mei
fFBeD,wo-tě tang-tsze-mei
