parameter,word
mM,ȵiã13
mF,ɦiɑ13
mMeB,ȵia13 dʑiʏ31-13
mMyB,ȵia13 dʑiʏ31-13
mFeB,dəu31-13 pɑʔ 5-3
mFyB,aʔ5 soʔ5
mFeZ,mo13 mo13-33
mFyZ,ȵiã55 ȵiã55-21
meZ,aʔ5 tsiɑ51
myZ,mᴇ31-13 tsɿ
mMBeS,piæ51 kəu55-31
mMByS,piæ51 di31-21
mFBeS,dɑ᷈13 ɕioŋ55-21
mFByS,dɑ᷈13 di31-21
mMZeS,piæ51 kəu55-31
mMZyS,piæ51 di31-21
mFZeS,piæ51 kəu55-31
mFZyS,piæ51 di31-21
mMBeD,piæ51 tsiɑ51-21
mMByD,piæ51 mᴇ31-21
mFBeD,dɑ᷈13 tsiɑ51-21
mFByD,dɑ᷈13 mᴇ31-21
mMZeD,piæ51 tsiɑ51-21
mMZyD,piæ51 mᴇ31-21
mFZeD,piæ51 tsiɑ51-21
mFZyD,piæ51 mᴇ31-21
