parameter,word
mM,pɨʔka-kˀo
mF,haʔkɨ
mFeB,itˀa taita
mMeZ,itˀa mama
mMBeS,wiʔya-kˀo
mMeBS,wiʔya-kˀo
mMyBS,wiʔya-kˀo
mFBeS,wiʔya-kˀo
mFeBS,wiʔya-kˀo
mFyBS,wiʔya-kˀo
mMZeS,wiʔya-kˀo
mMeZS,wiʔya-kˀo
mMyZS,wiʔya-kˀo
mFZeS,wiʔya-kˀo
mFeZS,wiʔya-kˀo
mFyZS,wiʔya-kˀo
mMBeD,wiʔya-kˀo
mMeBD,wiʔya-kˀo
mMyBD,wiʔya-kˀo
mFBeD,wiʔya-kˀo
mFeBD,wiʔya-kˀo
mFyBD,wiʔya-kˀo
mMZeD,wiʔya-kˀo
mMeZD,wiʔya-kˀo
mMyZD,wiʔya-kˀo
mFZeD,wiʔya-kˀo
mFeZD,wiʔya-kˀo
mFyZD,wiʔya-kˀo
