parameter,word
mM,mâma
mF,taata
mMeB,ngwaasi
mFeB,tata mbuta
mFyB,tata nleke
mMeZ,ngudi mbuta
mMyZ,ngudi nleke
mFeZ,tata
meB,yâya
myB,mulêki
meZ,yâya
myZ,mpangi nkento
mMBeS,kísoni
mMeBS,kísoni
mMyBS,kísoni
mFBeS,kísoni
mFeBS,kísoni
mFyBS,kísoni
mMZeS,kísoni
mMeZS,kísoni
mMyZS,kísoni
mFZeS,kísoni
mFeZS,kísoni
mFyZS,kísoni
mMBeD,kísoni
mMeBD,kísoni
mMyBD,kísoni
mFBeD,kísoni
mFeBD,kísoni
mFyBD,kísoni
mMZeD,kísoni
mMeZD,kísoni
mMyZD,kísoni
mFZeD,kísoni
mFeZD,kísoni
mFyZD,kísoni
fyB,mpangi yakala
fyZ,múkomba
