parameter,word
mM,metua vahine
mF,metua tane
mMeB,metua tane
mFeB,metua tane
mMeZ,metua vahine
mFeZ,metua vahine
meB,tua'ana
myB,teina
meZ,tuahine
mMBeS,tua'ana
mMByS,teina
mFBeS,tua'ana
mFByS,teina
mMZeS,tua'ana
mMZyS,teina
mFZeS,tua'ana
mFZyS,teina
mMBeD,tuahine
mMeBD,tuahine
mMyBD,tuahine
mFBeD,tuahine
mFeBD,tuahine
mFyBD,tuahine
mMZeD,tuahine
mMeZD,tuahine
mMyZD,tuahine
mFZeD,tuahine
mFeZD,tuahine
mFyZD,tuahine
feB,tua'ane
feZ,tua'ana
fyZ,teina
fMBeS,tua'ane
fMeBS,tua'ane
fMyBS,tua'ane
fFBeS,tua'ane
fFeBS,tua'ane
fFyBS,tua'ane
fMZeS,tua'ane
fMeZS,tua'ane
fMyZS,tua'ane
fFZeS,tua'ane
fFeZS,tua'ane
fFyZS,tua'ane
fMBeD,tua'ana
fMByD,teina
fFBeD,tua'ana
fFByD,teina
fMZeD,tua'ana
fMZyD,teina
fFZeD,tua'ana
fFZyD,teina
