parameter,word
mM,ane
mF,arima
mFeB,arima
mMeZ,ane
meZ,vino
mMBeS,miaru
mMeBS,miaru
mMyBS,miaru
mFBeS,naru
mFeBS,naru
mFyBS,naru
mMZeS,naru
mMeZS,naru
mMyZS,naru
mFZeS,miaru
mFeZS,miaru
mFyZS,miaru
mMBeD,miaru
mMeBD,miaru
mMyBD,miaru
mFBeD,naru
mFeBD,naru
mFyBD,naru
mMZeD,naru
mMeZD,naru
mMyZD,naru
mFZeD,miaru
mFeZD,miaru
mFyZD,miaru
feB,ŋmano
feZ,ina
fMBeS,apogbwa
fMeBS,apogbwa
fMyBS,apogbwa
fFBeS,naru
fFeBS,naru
fFyBS,naru
fMZeS,naru
fMeZS,naru
fMyZS,naru
fFZeS,apogbwa
fFeZS,apogbwa
fFyZS,apogbwa
fMBeD,apogbwa
fMeBD,apogbwa
fMyBD,apogbwa
fFBeD,naru
fFeBD,naru
fFyBD,naru
fMZeD,naru
fMeZD,naru
fMyZD,naru
fFZeD,apogbwa
fFeZD,apogbwa
fFyZD,apogbwa
