parameter,word
mM,ina'
mF,ama'
mMeB,bapa'
mFeB,bapa'
mMeZ,bapu'
mFeZ,bapu'
meZ,magulang
myZ,manghud
mMBeS,patungud
mMeBS,patungud
mMyBS,patungud
mFBeS,patungud
mFeBS,patungud
mFyBS,patungud
mMZeS,patungud
mMeZS,patungud
mMyZS,patungud
mFZeS,patungud
mFeZS,patungud
mFyZS,patungud
mMBeD,patungud
mMeBD,patungud
mMyBD,patungud
mFBeD,patungud
mFeBD,patungud
mFyBD,patungud
mMZeD,patungud
mMeZD,patungud
mMyZD,patungud
mFZeD,patungud
mFeZD,patungud
mFyZD,patungud
feB,magulang
fyB,manghud
