parameter,word
mM,ỹate'e
mF,ita'a
mMeB,ñitesqo'
mFeB,ñitesqo'
mMeZ,ỹasodo
mFeZ,ỹasodo
meB,ỹapichaqa'
myB,ỹanoq
meZ,ỹapilte
myZ,ỹano'o
mMBeS,ỹaqaỹa
mMeBS,ỹaqaỹa
mMyBS,ỹaqaỹa
mFBeS,ỹaqaỹa
mFeBS,ỹaqaỹa
mFyBS,ỹaqaỹa
mMZeS,ỹaqaỹa
mMeZS,ỹaqaỹa
mMyZS,ỹaqaỹa
mFZeS,ỹaqaỹa
mFeZS,ỹaqaỹa
mFyZS,ỹaqaỹa
mMBeD,ỹaqaỹa
mMeBD,ỹaqaỹa
mMyBD,ỹaqaỹa
mFBeD,ỹaqaỹa
mFeBD,ỹaqaỹa
mFyBD,ỹaqaỹa
mMZeD,ỹaqaỹa
mMeZD,ỹaqaỹa
mMyZD,ỹaqaỹa
mFZeD,ỹaqaỹa
mFeZD,ỹaqaỹa
mFyZD,ỹaqaỹa
